hour	heat
2025-03-05 21	9
2025-03-05 22	42
2025-03-05 23	143
2025-03-06 00	71
2025-03-06 01	52
2025-03-06 02	22
2025-03-06 03	6
2025-03-06 04	7
2025-03-06 05	9
2025-03-06 06	3
2025-03-06 07	10
2025-03-06 08	51
2025-03-06 09	65
2025-03-06 10	81
2025-03-06 11	64
2025-03-06 12	136
2025-03-06 13	158
2025-03-06 14	179
2025-03-06 15	143
2025-03-06 16	155
2025-03-06 17	28
2025-03-06 18	69
2025-03-06 19	21
2025-03-06 20	60
2025-03-06 21	43
2025-03-06 22	27
2025-03-06 23	40
2025-03-07 00	41
2025-03-07 01	9
2025-03-07 02	15
2025-03-07 03	11
2025-03-07 04	34
2025-03-07 05	10
2025-03-07 06	13
2025-03-07 07	44
2025-03-07 08	43
2025-03-07 09	36
2025-03-07 10	32
2025-03-07 11	36
2025-03-07 12	72
2025-03-07 13	112
2025-03-07 14	53
2025-03-07 15	97
2025-03-07 16	181
2025-03-07 17	113
2025-03-07 18	107
2025-03-07 19	40
2025-03-07 20	31
2025-03-07 21	24
2025-03-07 22	34
2025-03-07 23	14
2025-03-08 00	15
2025-03-08 01	8
2025-03-08 02	10
2025-03-08 03	5
2025-03-08 04	7
2025-03-08 05	8
2025-03-08 06	3
2025-03-08 07	25
2025-03-08 08	950
2025-03-08 09	1609
2025-03-08 10	999
2025-03-08 11	777
2025-03-08 12	567
2025-03-08 13	333
2025-03-08 14	251
2025-03-08 15	194
2025-03-08 16	280
2025-03-08 17	241
2025-03-08 18	166
2025-03-08 19	132
2025-03-08 20	97
2025-03-08 21	83
2025-03-08 22	85
2025-03-08 23	47
2025-03-09 00	35
2025-03-09 01	18
2025-03-09 02	5
2025-03-09 03	5
2025-03-09 04	2
2025-03-09 05	3
2025-03-09 06	7
2025-03-09 07	11
2025-03-09 08	15
2025-03-09 09	25
2025-03-09 10	61
2025-03-09 11	48
2025-03-09 12	18
2025-03-09 13	18
2025-03-09 14	14
2025-03-09 15	9
2025-03-09 16	5
2025-03-09 17	9
2025-03-09 18	8
2025-03-09 19	1
2025-03-09 20	2
2025-03-09 21	11
2025-03-09 22	5
2025-03-09 23	11
